obor,2019-01,2019-04,2019-07,2019-10,2020-01,2020-04,2020-07,2020-10,2021-01,2021-04,2021-07,2021-10
veobecné praktické lékařství,35135,35057,35009,20973,20811,20777,20775,20733,20689,20691,1.0,"(7338.5, 20645.0]"
zubní lékařství,35530,35416,35335,21158,20986,20934,20780,20680,20554,20502,0.9856469936270436,"(7338.5, 20645.0]"
Fyzioterapeut,15220,15409,15523,9406,9356,9430,9320,9406,9468,9640,0.39467996674979217,"(7338.5, 20645.0]"
praktické lékařství pro děti a dorost,14050,14011,13933,8304,8186,8166,8086,8014,7970,7946,0.2913826544749238,"(7338.5, 20645.0]"
vnitřní lékařství,12890,12899,12905,7734,7486,7466,7450,7458,7456,7420,0.2645608201717927,"(7338.5, 20645.0]"
gynekologie a porodnictví,12600,12573,12570,7546,7358,7354,7346,7328,7298,7300,0.25846494873926296,"(4715.5, 7338.5]"
Zubní technik,9440,9437,9440,5646,5600,5586,5564,5548,5520,5518,0.15893599334995845,"(4715.5, 7338.5]"
praktické lékárenství,nan,nan,nan,nan,4944,4946,4924,4914,4928,4920,0.12502078137988362,"(4715.5, 7338.5]"
Veobecná sestra,7210,7372,7657,4660,4622,4666,4718,4752,4824,4928,0.12956497644776946,"(4715.5, 7338.5]"
ortopedie a traumatologie pohybového ústrojí,8070,8091,8100,4892,4752,4770,4776,4770,4772,4768,0.11914657799944584,"(4715.5, 7338.5]"
chirurgie,7845,7842,7860,4729,4573,4575,4575,4577,4593,4599,0.10944860072042117,"(3290.75, 4715.5]"
rehabilitační a fyzikální medicína,7425,7449,7446,4465,4351,4341,4299,4299,4317,4299,0.09238016070933777,"(3290.75, 4715.5]"
psychiatrie,6340,6406,6430,3878,3758,3764,3770,3788,3830,3838,0.06672208367968967,"(3290.75, 4715.5]"
neurologie,6075,6078,6090,3661,3515,3499,3509,3509,3513,3523,0.04882238847326129,"(3290.75, 4715.5]"
oftalmologie,5655,5646,5646,3385,3299,3305,3335,3341,3339,3331,0.03873649210307564,"(3290.75, 4715.5]"
dermatovenerologie,5350,5353,5350,3214,3138,3124,3138,3128,3102,3098,0.02593516209476309,"(2645.999, 3290.75]"
endokrinologie a diabetologie,4955,4976,4976,2995,2889,2877,2873,2885,2879,2865,0.011471321695760598,"(2645.999, 3290.75]"
Klinický psycholog,4615,4648,4675,2843,2731,2749,2781,2809,2875,2897,0.015018010529232474,"(2645.999, 3290.75]"
anesteziologie a intenzivní medicína,4805,4793,4832,2917,2827,2837,2841,2851,2873,2887,0.014131338320864505,"(2645.999, 3290.75]"
otorinolaryngologie a chirurgie hlavy a krku,4630,4621,4636,2784,2688,2680,2680,2676,2656,2658,0.0,"(2645.999, 3290.75]"
